E-id,Archival_Culture_Name,Possible_GJB_All_cid_Matches,Cultural_focus,Ensemble/Song_name,Instruments_in_Ensemble,See_I-ids,Additional_Comments,Bibliographic_Sources,Page/plate/illustration#,Archival_source,Source_Tag,Metadata_notes
280,BAULE,11870,,,2 Flutes,776,Drum sometimes accompanies - very little specific data given.,"Rouget, G. (1952). [Liner notes]. Musique d'Afrique occidentale: Malinké et Baoule. Paris: Vogue Contrepoint. In Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie. Retrieved from https://archives.crem-cnrs.fr/archives/collections/CNRSMH_I_1970_055/; Rouget, G. (1957). [Liner notes]. Pondo Kakou - Musique de société secrète. Département d'ethnomusicologie, CNRS, Musée de l'Homme, Paris. In Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie. Retrieved from https://archives.crem-cnrs.fr/archives/collections/CNRSMH_E_1957_014_001/; Thurow, D. (1956). [Liner notes]. The Baoule of the Ivory Coast. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/the-baoule-of-the-ivory-coast/world/music/album/smithsonian",,4A72; 4A77; 4A9,@VC1952MalinkeBaoule @CNRS1957PondoKakou @FW1956BaouleIvoryCoast,
281,BAULE,11870,,,1 Xylophone,779,,"Rouget, G. (1952). [Liner notes]. Musique d'Afrique occidentale: Malinké et Baoule. Paris: Vogue Contrepoint. In Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie. Retrieved from https://archives.crem-cnrs.fr/archives/collections/CNRSMH_I_1970_055/; Rouget, G. (1957). [Liner notes]. Pondo Kakou - Musique de société secrète. Département d'ethnomusicologie, CNRS, Musée de l'Homme, Paris. In Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie. Retrieved from https://archives.crem-cnrs.fr/archives/collections/CNRSMH_E_1957_014_001/; Thurow, D. (1956). [Liner notes]. The Baoule of the Ivory Coast. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/the-baoule-of-the-ivory-coast/world/music/album/smithsonian",,4A72; 4A77; 4A9,@VC1952MalinkeBaoule @CNRS1957PondoKakou @FW1956BaouleIvoryCoast,
282,BAULE,11870,,Min Nouan Ritual,3 Drums; 2 Drums; 1 Drum; 2 Bells; 6 Sticks,789; 790; 788; 778; 792,,"Rouget, G. (1952). [Liner notes]. Musique d'Afrique occidentale: Malinké et Baoule. Paris: Vogue Contrepoint. In Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie. Retrieved from https://archives.crem-cnrs.fr/archives/collections/CNRSMH_I_1970_055/; Rouget, G. (1957). [Liner notes]. Pondo Kakou - Musique de société secrète. Département d'ethnomusicologie, CNRS, Musée de l'Homme, Paris. In Sound Archives of the CNRS & the Musée de l'Homme, Centre de Recherche en Etnomusicologie. Retrieved from https://archives.crem-cnrs.fr/archives/collections/CNRSMH_E_1957_014_001/; Thurow, D. (1956). [Liner notes]. The Baoule of the Ivory Coast. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/the-baoule-of-the-ivory-coast/world/music/album/smithsonian",,4A72; 4A77; 4A9,@VC1952MalinkeBaoule @CNRS1957PondoKakou @FW1956BaouleIvoryCoast,
150,TANALA,26522,,,1 Percussion tubes,381,"10 performers, each with 2 sticks. ","Sachs, C. (1938). Les Instruments de Musique de Madagascar. Université de Paris: Travaux et Mémoires de l'lnstitut d'Ethnologie, 28.","Sachs, 1, pl. 1",,@Sachs1938MadagascarInstruments,
152,TANALA,26522,,,1 Zither,378,,"Sachs, C. (1938). Les Instruments de Musique de Madagascar. Université de Paris: Travaux et Mémoires de l'lnstitut d'Ethnologie, 28.","Sachs, 47, 51",,@Sachs1938MadagascarInstruments,
153,TANALA,26522,,,1 Musical bow; 1 Rattle,377; 383,,"Sachs, C. (1938). Les Instruments de Musique de Madagascar. Université de Paris: Travaux et Mémoires de l'lnstitut d'Ethnologie, 28.","Sachs, 42-43",,@Sachs1938MadagascarInstruments,
332,BETSILEO,12112,,,1 Flute (sodina),924,,"Sachs, C. (1938). Les Instruments de Musique de Madagascar. Université de Paris: Travaux et Mémoires de l'lnstitut d'Ethnologie, 28.",,,@Sachs1938MadagascarInstruments,
225,EGYPTANCT,11049,,,12 Sistra (rattles),593,In worship of Hathod,"Sachs, C. (1940). The History of Musical Instruments. New York: W. W. Norton & Co.","Sachs, 89",,@Sachs1940TheHistoryofMusicalInstruments,
526,BRI URBBAR,"15095, 15093, 24520",,,4 Trumpets,1731,,"Sachs, C. (1940). The History of Musical Instruments. New York: W. W. Norton & Co.",,,@Sachs1940TheHistoryofMusicalInstruments,
527,BRI URBBAR,"15095, 15093, 24520",,,1 Harpsichord,1733,,"Sachs, C. (1940). The History of Musical Instruments. New York: W. W. Norton & Co.",,,@Sachs1940TheHistoryofMusicalInstruments,
528,BRI URBBAR,"15095, 15093, 24520",,,1 Small organ,1732,Regal,"Sachs, C. (1940). The History of Musical Instruments. New York: W. W. Norton & Co.",,,@Sachs1940TheHistoryofMusicalInstruments,
529,BRI URBBAR,"15095, 15093, 24520",,,1 Organ,1732,,"Sachs, C. (1940). The History of Musical Instruments. New York: W. W. Norton & Co.",,,@Sachs1940TheHistoryofMusicalInstruments,
530,BRI URBBAR,"15095, 15093, 24520",,,1 Small harpsichord (virginal),1733,,"Sachs, C. (1940). The History of Musical Instruments. New York: W. W. Norton & Co.",,,@Sachs1940TheHistoryofMusicalInstruments,
532,BRI URBBAR,"15095, 15093, 24520",,,1 Lute,1734,,"Sachs, C. (1940). The History of Musical Instruments. New York: W. W. Norton & Co.",,,@Sachs1940TheHistoryofMusicalInstruments,
533,BRI URBBAR,"15095, 15093, 24520",,,1 Pandora,1735,,"Sachs, C. (1940). The History of Musical Instruments. New York: W. W. Norton & Co.",,,@Sachs1940TheHistoryofMusicalInstruments,
534,BRI URBBAR,"15095, 15093, 24520",,Whole Consort,2 Treble recorders; 1 Alto recorder; 1 Tenor recorder; 2 Bass recorders,1739,Vertical recorders,"Sachs, C. (1940). The History of Musical Instruments. New York: W. W. Norton & Co.",,,@Sachs1940TheHistoryofMusicalInstruments,
556,GER URBBAR,"15819, 50257, 15852",,Carillon,1 Bells,1750,,"Sachs, C. (1940). The History of Musical Instruments. New York: W. W. Norton & Co.",,,@Sachs1940TheHistoryofMusicalInstruments,
557,GER URBBAR,"15819, 50257, 15852",,,1 Harpsichord,1751,,"Sachs, C. (1940). The History of Musical Instruments. New York: W. W. Norton & Co.",,,@Sachs1940TheHistoryofMusicalInstruments,
558,GER URBBAR,"15819, 50257, 15852",,Consort,5 Recorders (blockflote),1752,,"Sachs, C. (1940). The History of Musical Instruments. New York: W. W. Norton & Co.",,,@Sachs1940TheHistoryofMusicalInstruments,
561,GER URBBAR,"15819, 50257, 15852",,Consort,5 Cornetts (zink),1748,,"Sachs, C. (1940). The History of Musical Instruments. New York: W. W. Norton & Co.",,,@Sachs1940TheHistoryofMusicalInstruments,
573,IT URBBAR,22188,"Refers specifically to Orlande de Lassus (di Lasso), a Flemish composer who had stints working in many different parts of Europe, eventually settling in Munich. However, this coding must refer to his early work in Italy in the early 1550s, where he worked as a singer and a composer for Costantino Castrioto in Naples. ",,1 Bassoon; 1 Cross flute; 1 Flute (pipe); 1 Cornett,1764; 1761; 1763; 1766,Orlando di Lasso,"Sachs, C. (1940). The History of Musical Instruments. New York: W. W. Norton & Co.",,,@Sachs1940TheHistoryofMusicalInstruments,
574,IT URBBAR,22188,"Refers specifically to Orlande de Lassus (di Lasso), a Flemish composer who had stints working in many different parts of Europe, eventually settling in Munich. However, this coding must refer to his early work in Italy in the early 1550s, where he worked as a singer and a composer for Costantino Castrioto in Naples. ",,4 Recorders,1768,Orlando di Lasso,"Sachs, C. (1940). The History of Musical Instruments. New York: W. W. Norton & Co.",,,@Sachs1940TheHistoryofMusicalInstruments,
575,IT URBBAR,22188,"Refers specifically to Orlande de Lassus (di Lasso), a Flemish composer who had stints working in many different parts of Europe, eventually settling in Munich. However, this coding must refer to his early work in Italy in the early 1550s, where he worked as a singer and a composer for Costantino Castrioto in Naples. ",,4 Viols (gamba),1773,Orlando di Lasso,"Sachs, C. (1940). The History of Musical Instruments. New York: W. W. Norton & Co.",,,@Sachs1940TheHistoryofMusicalInstruments,
576,IT URBBAR,22188,"Refers specifically to Orlande de Lassus (di Lasso), a Flemish composer who had stints working in many different parts of Europe, eventually settling in Munich. However, this coding must refer to his early work in Italy in the early 1550s, where he worked as a singer and a composer for Costantino Castrioto in Naples. ",,5 Cornetts,1766,Orlando di Lasso,"Sachs, C. (1940). The History of Musical Instruments. New York: W. W. Norton & Co.",,,@Sachs1940TheHistoryofMusicalInstruments,
669,HEBREW,3905,,,2 Trumpets (hasora); 2 Horns (shofar),598; 597,,"Sachs, C. (1943). The Rise of Music in the Ancient World, East and West. New York: W. W. Norton & Co.",,,@Sachs1943TheRiseofMusicintheAncientWorld,
670,HEBREW,3905,,,1 Lyre (kinnor); 1 Drum (timbrel),594; 595,,"Sachs, C. (1943). The Rise of Music in the Ancient World, East and West. New York: W. W. Norton & Co.",,,@Sachs1943TheRiseofMusicintheAncientWorld,
671,HEBREW,3905,,,10 Drums (timbrel),595,,"Sachs, C. (1943). The Rise of Music in the Ancient World, East and West. New York: W. W. Norton & Co.",,,@Sachs1943TheRiseofMusicintheAncientWorld,
672,HEBREW,3905,,,50 Clapping,1441,,"Sachs, C. (1943). The Rise of Music in the Ancient World, East and West. New York: W. W. Norton & Co.",,,@Sachs1943TheRiseofMusicintheAncientWorld,
673,HEBREW,3905,,Women's Songs,1 Cymbal; 1 Drum (timbrel),600; 595,,"Sachs, C. (1943). The Rise of Music in the Ancient World, East and West. New York: W. W. Norton & Co.",,,@Sachs1943TheRiseofMusicintheAncientWorld,
674,HEBREW,3905,,,6 Harps; 9 Lyres; 12 Oboes; 1 Cymbal,1437; 594; 599; 600,,"Sachs, C. (1943). The Rise of Music in the Ancient World, East and West. New York: W. W. Norton & Co.",,,@Sachs1943TheRiseofMusicintheAncientWorld,
675,HEBREW,3905,,Levite,1 Cymbal; 4 Lyres; 5 Harps; 120 Trumpets,600; 594; 1437; 598,,"Sachs, C. (1943). The Rise of Music in the Ancient World, East and West. New York: W. W. Norton & Co.",,,@Sachs1943TheRiseofMusicintheAncientWorld,
676,HEBREW,3905,,Levite,3 Cymbals; 8 Harps; 6 Lyres,600; 1437; 594,,"Sachs, C. (1943). The Rise of Music in the Ancient World, East and West. New York: W. W. Norton & Co.",,,@Sachs1943TheRiseofMusicintheAncientWorld,
353,MANUS,20813,,Garamut orchestra (Noral Hekiwe),3 Slit drums; 1 Slit drum; 1 Slit drum,971; 970; 972,Played by men dressed as women,"Schwartz, T. (1953). [Recording notes]. Manus tape. Ted Schwartz Collection, AIE Tapes #53. T.53.1. In Alan Lomax Collection, American Folklife Center, Library of Congress.; Sheridan, R. (1958). [Liner notes]. Music Of New Guinea, The Australian Trust Territory: An Introduction. Wattle Archive Series.",,T1249; 3A25,@TSC1953ManusTape @WAS1958MusicOfNewGuineaIntroduction,
54,GILYAK,15907,,,1 Drum; 1 Rattle,145; 144,,"Seeland, N. (1882). Die Ghiliaken: Eine ethnograposche Skizze. Russische revue, 21. St. Petersburg: Verlay der Kaiserlichen Hofbuchhandlung H. Schmitzdorff (Carl Röttger).",,,@Seeland1882DieGhiliaken,
55,GILYAK,15907,,,1 Jew's harp,139,,"Seeland, N. (1882). Die Ghiliaken: Eine ethnograposche Skizze. Russische revue, 21. St. Petersburg: Verlay der Kaiserlichen Hofbuchhandlung H. Schmitzdorff (Carl Röttger).",,,@Seeland1882DieGhiliaken,
56,GILYAK,15907,,,1 Percussion stick,140,,"Seeland, N. (1882). Die Ghiliaken: Eine ethnograposche Skizze. Russische revue, 21. St. Petersburg: Verlay der Kaiserlichen Hofbuchhandlung H. Schmitzdorff (Carl Röttger).",,,@Seeland1882DieGhiliaken,
374,TIBET,27028,,,1 Drum; 1 Cymbal,1023; 1032,,"Shen, T. & Liu, S. (1953). Tibet and the Tibetans. Palo Alto: Stanford University Press.",,,@ShenLiu1953TibetandtheTibetans,
768,N INDIA,24014,The particular song used as the source material for this coding is from Punjab,,1 Sarangi; 1 Pakavaj; 1 Kartals,1651; 1654; 1641,,"Singh, W. W. (1950). [Liner notes]. Folk Music of India. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/folk-music-of-india/world/album/smithsonian",,2C18.A2,@FW1950FolkMusicOfIndia,
769,N INDIA,12024,The particular song used as the source material for this coding is from Benares,,1 Shahnai; 1 Drum (tabla); 1 Drone (tamboura),1655; 1653; 1649,,"Singh, W. W. (1950). [Liner notes]. Folk Music of India. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/folk-music-of-india/world/album/smithsonian",,2C18.B2,@FW1950FolkMusicOfIndia,
771,N INDIA,18371,The particular song used as the source material for this coding is from Kerala,,1 Musical cups (jaltarang); 1 Drum (dolak),1657; 1654,,"Singh, W. W. (1950). [Liner notes]. Folk Music of India. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/folk-music-of-india/world/album/smithsonian",,2C18.B1,@FW1950FolkMusicOfIndia,
772,N INDIA,12046,The particular song used as the source material for this coding is from West Bengal,,1 Israj; 1 Sitar; 1 Flute; 1 Drum (gopi-jantra); 2 Drums (dolak); 1 Harmonium,1649; 1646; 1658; 1654; 1640,,"Singh, W. W. (1950). [Liner notes]. Folk Music of India. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/folk-music-of-india/world/album/smithsonian",,2C18.A1,@FW1950FolkMusicOfIndia,
795,S INDIA URB,17183,The particular song used as the source material for this coding is from Andhra Pradesh,,1 Harmonium; 1 Drum (tabla),1718; 1727,,"Singh, W. W. (1950). [Liner notes]. Folk Music of India. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/folk-music-of-india/world/album/smithsonian",,2C18.B5,@FW1950FolkMusicOfIndia,
796,S INDIA FOLK,24540,"The particular song used as the source material for this coding is from Madras, sung in Tamil",,1 Violin; 1 Bamboo flute (vani); 1 Drum (mirdam),1716; 1719; 1708,,"Singh, W. W. (1950). [Liner notes]. Folk Music of India. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/folk-music-of-india/world/album/smithsonian",,2C18.A3,@FW1950FolkMusicOfIndia,
797,S INDIA FOLK,30099,The particular song used as the source material for this coding is sung in Tamil,,3 Oboes (nagasvaram); 1 Drum; 1 Cymbal,1713; 1708; 1710,"Nagasvaram - 2 playing drone, 1 playing melody.","Singh, W. W. (1950). [Liner notes]. Folk Music of India. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/folk-music-of-india/world/album/smithsonian",,2C18.A4,@FW1950FolkMusicOfIndia,
798,S INDIA URB,62537,The particular song used as the source material for this coding is played by Pt Dattopant Mangalvedhekar from Pandharpur,,2 Jalatarang; 1 Tabla; 1 Tanpura,1728; 1727; 1714,,"Singh, W. W. (1950). [Liner notes]. Folk Music of India. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/folk-music-of-india/world/album/smithsonian",,2C17.B1; 2C17.B2,@FW1950FolkMusicOfIndia,
799,S INDIA FOLK,,,,2 Lutes (violin); 1 Drum (tabla); 1 Drone (tanpura),1716; 1727; 1714,,"Singh, W. W. (1950). [Liner notes]. Folk Music of India. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/folk-music-of-india/world/album/smithsonian",,2C17; 2C18,@FW1950FolkMusicOfIndia,Cannot locate a song with this ensemble on the source given
800,S INDIA URB,17183,The particular song used as the source material for this coding is from Andhra Pradesh,,1 Veena; 1 Drum (khol); 1 Violin,1715; 1708; 1716,,"Singh, W. W. (1950). [Liner notes]. Folk Music of India. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/folk-music-of-india/world/album/smithsonian",,2C17.A4,@FW1950FolkMusicOfIndia,
418,BEMBA,12002,,,1 Signal drum (mondo),1107,,"Slaski, J. (1950). Peoples of the Lower Luapula Valley. Ethnographic Survey of Africa: East Central Africa, pt. 2. London: International African Institute.",,,@Slaski1950PeoplesoftheLowerLuapulaValley,
420,BEMBA,12002,,Folk singer (griot),1 Lute (chansa),1105,,"Slaski, J. (1950). Peoples of the Lower Luapula Valley. Ethnographic Survey of Africa: East Central Africa, pt. 2. London: International African Institute.",,,@Slaski1950PeoplesoftheLowerLuapulaValley,
421,BEMBA,12002,,,1 Marimba; 1 Bass drum; 1 Conical drum; 1 Iron clapper; 1 Slit drum; 1 War drum,1104; 1103; 1102; 1101; 1107; 1108,,"Slaski, J. (1950). Peoples of the Lower Luapula Valley. Ethnographic Survey of Africa: East Central Africa, pt. 2. London: International African Institute.",,,@Slaski1950PeoplesoftheLowerLuapulaValley,
497,HAUSA,62527,Source refers specifically to Hausa communities of Zaria,,2 Oboes (algaita); 2 Drums (ganga); 2 Talking drums (kalangu),1255; 1267; 1266,,"Smith, M. G. (1955). The Economy of Hausa Communities of Zaria. London: H. M. Stationery Office for the Colonial Office.",,,@Smith1955HausaZaria,
498,HAUSA,62527,Source refers specifically to Hausa communities of Zaria,,1 Deep drum,1267,About 8 feet tall,"Smith, M. G. (1955). The Economy of Hausa Communities of Zaria. London: H. M. Stationery Office for the Colonial Office.",,,@Smith1955HausaZaria,
499,HAUSA,62527,Source refers specifically to Hausa communities of Zaria,,1 Drum (taushe),1265,"Small, hemispherical","Smith, M. G. (1955). The Economy of Hausa Communities of Zaria. London: H. M. Stationery Office for the Colonial Office.",,,@Smith1955HausaZaria,
500,HAUSA,62527,Source refers specifically to Hausa communities of Zaria,Roko,1 Trumpet,1264,Long trumpets of silver or beaten brass,"Smith, M. G. (1955). The Economy of Hausa Communities of Zaria. London: H. M. Stationery Office for the Colonial Office.",,,@Smith1955HausaZaria,
501,HAUSA,62527,Source refers specifically to Hausa communities of Zaria,Roko,1 Gong (koge),1263,Double gong,"Smith, M. G. (1955). The Economy of Hausa Communities of Zaria. London: H. M. Stationery Office for the Colonial Office.",,,@Smith1955HausaZaria,
502,HAUSA,62527,Source refers specifically to Hausa communities of Zaria,Roko,Royal drum,1262,Tambari,"Smith, M. G. (1955). The Economy of Hausa Communities of Zaria. London: H. M. Stationery Office for the Colonial Office.",,,@Smith1955HausaZaria,Number of instruments = 0? Not sure what this means.
504,HAUSA,62527,Source refers specifically to Hausa communities of Zaria,,5 Calabash drums,1260,,"Smith, M. G. (1955). The Economy of Hausa Communities of Zaria. London: H. M. Stationery Office for the Colonial Office.",,,@Smith1955HausaZaria,
509,HAUSA,62527,Source refers specifically to Hausa communities of Zaria,,1 Fiddle (goge),1256,One string fiddle,"Smith, M. G. (1955). The Economy of Hausa Communities of Zaria. London: H. M. Stationery Office for the Colonial Office.",,,@Smith1955HausaZaria,
510,HAUSA,62527,Source refers specifically to Hausa communities of Zaria,,1 Oboe (algaita),1255,,"Smith, M. G. (1955). The Economy of Hausa Communities of Zaria. London: H. M. Stationery Office for the Colonial Office.",,,@Smith1955HausaZaria,
511,HAUSA,62527,Source refers specifically to Hausa communities of Zaria,"Amada, Kidan Ruwa",4 Water Drums (kidan ruwa),1254,Upturned calabashes floating in larger calabashes filled with water,"Smith, M. G. (1955). The Economy of Hausa Communities of Zaria. London: H. M. Stationery Office for the Colonial Office.",,,@Smith1955HausaZaria,
133,DUSUN,14840,,,1 Drum; 3 Gongs; 3 Gongs,326; 328; 329,,"Staal, J. (1923). The Dusuns of North Borneo. Their Social Life. Anthropos, 18/19(4/6), 958-977.","Staal, 946",,@Staal1923DusunsOfNorthBorneo,
419,BEMBA,12002,,Zingan Dance,7 Drums; 40 Clapping,1102; 1280,,"Stannus, H. (1910). Notes on Some Tribes of British Central Africa. The Journal of the Royal Anthropological Institute of Great Britain and Ireland, 40, 285-335. doi:10.2307/2843261",,,@Stannus1910TribesofBritishCentralAfrica,
483,ZUNI,29371,,Hlewekwe,1 Drum; 5 Sticks,1246; 1247,,"Stevenson, M.C. (1904). The Zuni Indians: Their mythology, esoteric fraternity and ceremonies. U.S. Bureau of American ethnology. Twenty-third annual report. 1901-1902. Washington, D.C.: U.S. Government Publishing Office.",,,@Stevenson1904TheZuniIndians,
484,ZUNI,29371,,,1 Drum,1246,"Rectangular, wooden drum","Stevenson, M.C. (1904). The Zuni Indians: Their mythology, esoteric fraternity and ceremonies. U.S. Bureau of American ethnology. Twenty-third annual report. 1901-1902. Washington, D.C.: U.S. Government Publishing Office.",,,@Stevenson1904TheZuniIndians,
485,ZUNI,29371,,Ashiwanni,1 Drum; 5 Flutes,1246; 1245,,"Stevenson, M.C. (1904). The Zuni Indians: Their mythology, esoteric fraternity and ceremonies. U.S. Bureau of American ethnology. Twenty-third annual report. 1901-1902. Washington, D.C.: U.S. Government Publishing Office.",,,@Stevenson1904TheZuniIndians,
486,ZUNI,29371,,Ashiwanni,1 Bullroarer; 1 Flute; 1 Rattle,1244; 1245; 1243,,"Stevenson, M.C. (1904). The Zuni Indians: Their mythology, esoteric fraternity and ceremonies. U.S. Bureau of American ethnology. Twenty-third annual report. 1901-1902. Washington, D.C.: U.S. Government Publishing Office.",,,@Stevenson1904TheZuniIndians,
487,ZUNI,29371,,,1 Rattle,1243,,"Stevenson, M.C. (1904). The Zuni Indians: Their mythology, esoteric fraternity and ceremonies. U.S. Bureau of American ethnology. Twenty-third annual report. 1901-1902. Washington, D.C.: U.S. Government Publishing Office.",,,@Stevenson1904TheZuniIndians,
488,ZUNI,29371,,Newekwe Fraternity,1 Drum,1242,Conical drum,"Stevenson, M.C. (1904). The Zuni Indians: Their mythology, esoteric fraternity and ceremonies. U.S. Bureau of American ethnology. Twenty-third annual report. 1901-1902. Washington, D.C.: U.S. Government Publishing Office.",,,@Stevenson1904TheZuniIndians,
489,ZUNI,29371,,,1 Kettle drum; 1 Rattle,1241; 1240,,"Stevenson, M.C. (1904). The Zuni Indians: Their mythology, esoteric fraternity and ceremonies. U.S. Bureau of American ethnology. Twenty-third annual report. 1901-1902. Washington, D.C.: U.S. Government Publishing Office.",,,@Stevenson1904TheZuniIndians,
490,ZUNI,29371,,,1 Rattle,1240,Shell necklace,"Stevenson, M.C. (1904). The Zuni Indians: Their mythology, esoteric fraternity and ceremonies. U.S. Bureau of American ethnology. Twenty-third annual report. 1901-1902. Washington, D.C.: U.S. Government Publishing Office.",,,@Stevenson1904TheZuniIndians,
492,ZUNI,29371,,,1 Whistle,1238,HIdden,"Stevenson, M.C. (1904). The Zuni Indians: Their mythology, esoteric fraternity and ceremonies. U.S. Bureau of American ethnology. Twenty-third annual report. 1901-1902. Washington, D.C.: U.S. Government Publishing Office.",,,@Stevenson1904TheZuniIndians,
190,PERU ANCIENT,"23607, 24091","Refers specifically to the Inca, and to the Quechua in general",,1 Flute,484,,"Stevenson, R. (1959). Ancient Peruvian Instruments. The Galpin Society Journal, 12, 17. doi:10.2307/841943","Stevenson, 32",,@Stevenson1959AncientPeruvianInstruments,
191,PERU ANCIENT,,Refers specifically to the Inca,,4 Panpipes,480,A playing group,"Stevenson, R. (1959). Ancient Peruvian Instruments. The Galpin Society Journal, 12, 17. doi:10.2307/841944","Stevenson, 32",,@Stevenson1959AncientPeruvianInstruments,
192,PERU ANCIENT,,"Refers to ""the Ica period"", pre-Inca conquest",,1 Panpipe; 1 Drum,480; 477,,"Stevenson, R. (1959). Ancient Peruvian Instruments. The Galpin Society Journal, 12, 17. doi:10.2307/841945","Stevenson, 24",,@Stevenson1959AncientPeruvianInstruments,
193,PERU ANCIENT,,Refers to the Mochica culture,,2 Panpipes,480,The two sets of pipes are tied together,"Stevenson, R. (1959). Ancient Peruvian Instruments. The Galpin Society Journal, 12, 17. doi:10.2307/841946","Stevenson, 23",,@Stevenson1959AncientPeruvianInstruments,
194,PERU ANCIENT,13135,"Refers to the ""Antisuyos""",,1 Panpipe; 4 Rattles; 1 Flute; 1 Drum,480; 482; 484; 477,,"Stevenson, R. (1959). Ancient Peruvian Instruments. The Galpin Society Journal, 12, 17. doi:10.2307/841947","Stevenson, 31",,@Stevenson1959AncientPeruvianInstruments,
189,PERU ANCIENT,,,,4 Panpipes,480,,"Stevenson, R. (1959). Ancient Peruvian Instruments. The Galpin Society Journal, 12, 17. doi:10.2307/841948","Stevenson, 30",,@Stevenson1959AncientPeruvianInstruments,
520,CUNA,14235,,,1 Drum,1271,Lionel Wafer mentions bamboo drums; Tomo Oviedo III (16th century) cites hollow log and skin headed drums.,"Stout, D.B. (1947). San Blas Cuna Acculturation: An Introduction. Viking Fund Publications in Anthropology, 9. New York: The Viking Fund.",,,@Stout1947SanBlasCunaAcculturation,
522,CUNA,14235,,,1 Rattle,1268,Wooden tube rattle,"Stout, D.B. (1947). San Blas Cuna Acculturation: An Introduction. Viking Fund Publications in Anthropology, 9. New York: The Viking Fund.",,,@Stout1947SanBlasCunaAcculturation,
677,KUNG,19262,,,1 Pluriarc (guashi),1442,,"Thomas, E. M. (1959). The Harmless People. New York: A. A. Knopf",,,@Thomas1959TheHarmlessPeople,
678,KUNG,19262,,,1 Mbira,1443,,"Thomas, E. M. (1959). The Harmless People. New York: A. A. Knopf",,,@Thomas1959TheHarmlessPeople,
679,KUNG,19262,,Mood song,1 Bow,1444,,"Thomas, E. M. (1959). The Harmless People. New York: A. A. Knopf",,,@Thomas1959TheHarmlessPeople,
680,KUNG,19262,,Sun Dance; Medicine Dance; Circumcision Ceremony,5 Clapping; 5 Rattles,1446; 1445,,"Thomas, E. M. (1959). The Harmless People. New York: A. A. Knopf",,,@Thomas1959TheHarmlessPeople,
411,BUKA,30041,,,1 Ribbon reed,1096,,"Thomas, G. (1932). Customs and Beliefs of the Natives of Buka. Oceania, 2. Melbourne: The Australian National Research Council.",,,@Thomas1932Buka,
116,ARAUCANIAN,10814,,,1 Drum; 1 Bells; 1 Rattle,297; 296; 289,Drum and bells played by one performer,"Titiev, M. (1951). Araucanian culture in transition (Vol. 15, Occasional Contributions). Ann Arbor, MI: University of Michigan Press.","Titiev, 132",,@Titiev1951AraucanianCultureTransition,
120,ARAUCANIAN,10814,,,2 Drums; 1 Bells; 4 Trumpets,297; 296; 291,,"Titiev, M. (1951). Araucanian culture in transition (Vol. 15, Occasional Contributions). Ann Arbor, MI: University of Michigan Press.","Titiev, 137",,@Titiev1951AraucanianCultureTransition,
296,CHOPI,13806,,,4 Alto xylophones; 1 Bass xylophone; 1 Double bass xylophone,839; 840; 841,,"Tracey, H. (1948). Chopi Musicians: Their music, poetry, and instruments. Oxford: Oxford University Press.; Tracey, H. (1965). [Liner notes] The Sounds of Africa, TR204 and TR205. In The Hugh Tracey Acetate and Vinyl Collections, The International Library of African Music, Rhodes University. ",,4A66; 4A67,@Tracey1948ChopiMusicians @SOA1965TR204 @SOA1963TR205 ,
